# Positions conifere scalees 1024x1536
# CENTER_X=512, SOL_Y=850
iC1      Tests / CI             x= 529  y= 104
iC2      Release / CD           x= 495  y= 115
iF1      API endpoints          x= 561  y= 235
iF2      UI composants          x= 464  y= 243
iF3      Exports / CLI          x= 598  y= 286
iB1      Module A               x= 544  y= 584
iB2      Module B               x= 480  y= 593
iB3      Module C               x= 572  y= 684
iB4      Module D               x= 453  y= 692
ib1      Sub-mod 1              x= 578  y= 389
ib2      Sub-mod 2              x= 616  y= 440
ib3      Sub-mod 3              x= 444  y= 398
ib4      Sub-mod 4              x= 409  y= 447
ib5      Sub-mod 5              x= 644  y= 499
ib6      Sub-mod 6              x= 383  y= 509
iT1      Core pipeline          x= 512  y= 821
iR11     Framework web          x= 561  y= 884
iR12     Framework data         x= 464  y= 892
iR13     Framework test         x= 605  y= 919
iR21     Archi DB               x= 609  y=1019
iR22     Archi API              x= 416  y=1030
iR31     Contrainte 1           x= 644  y=1138
iR32     Contrainte 2           x= 383  y=1149
iR33     Contrainte 3           x= 697  y=1158
iR41     Licence                x= 680  y=1267
iR42     Conformite             x= 347  y=1276
iR51     Algorithmes            x= 716  y=1392
iR52     Hardware               x= 309  y=1402
